Tid ;FT0010 Flow : (M³/t);;;
19-04-2018 00:00;74.8;;;
19-04-2018 00:00;67.5;;;
19-04-2018 00:00;67.5;;;
19-04-2018 00:00;67.5;;;
19-04-2018 00:00;67.5;;;
19-04-2018 00:00;67.5;;;
19-04-2018 00:00;67.5;;;
19-04-2018 00:00;67.5;;;
19-04-2018 00:00;67.5;;;
19-04-2018 00:00;67.5;;;
19-04-2018 00:00;67.5;;;
19-04-2018 00:00;67.5;;;
19-04-2018 00:01;67.5;;;
19-04-2018 00:01;67.5;;;
19-04-2018 00:01;67.5;;;
19-04-2018 00:01;67.5;;;
19-04-2018 00:01;67.5;;;
19-04-2018 00:01;67.5;;;
19-04-2018 00:01;67.5;;;
19-04-2018 00:01;67.5;;;
19-04-2018 00:01;67.5;;;
19-04-2018 00:01;67.5;;;
19-04-2018 00:01;67.5;;;
19-04-2018 00:01;67.5;;;
19-04-2018 00:02;67.5;;;
19-04-2018 00:02;67.5;;;
19-04-2018 00:02;67.5;;;
19-04-2018 00:02;67.5;;;
19-04-2018 00:02;67.5;;;
19-04-2018 00:02;67.5;;;
19-04-2018 00:02;67.5;;;
19-04-2018 00:02;67.5;;;
19-04-2018 00:02;67.5;;;
19-04-2018 00:02;67.5;;;
19-04-2018 00:02;67.5;;;
19-04-2018 00:02;67.5;;;
19-04-2018 00:03;67.5;;;
19-04-2018 00:03;67.5;;;
19-04-2018 00:03;67.5;;;
19-04-2018 00:03;67.5;;;
19-04-2018 00:03;67.5;;;
19-04-2018 00:03;67.5;;;
19-04-2018 00:03;67.5;;;
19-04-2018 00:03;67.5;;;
19-04-2018 00:03;67.5;;;
19-04-2018 00:03;67.5;;;
19-04-2018 00:03;67.5;;;
19-04-2018 00:03;67.5;;;
19-04-2018 00:04;67.5;;;
19-04-2018 00:04;67.5;;;
19-04-2018 00:04;67.5;;;
19-04-2018 00:04;67.5;;;
19-04-2018 00:04;67.5;;;
19-04-2018 00:04;67.5;;;
19-04-2018 00:04;67.5;;;
19-04-2018 00:04;67.5;;;
19-04-2018 00:04;67.5;;;
19-04-2018 00:04;67.5;;;
19-04-2018 00:04;67.5;;;
19-04-2018 00:04;67.5;;;
19-04-2018 00:05;67.5;;;
19-04-2018 00:05;67.5;;;
19-04-2018 00:05;67.5;;;
19-04-2018 00:05;67.5;;;
19-04-2018 00:05;67.5;;;
19-04-2018 00:05;67.5;;;
19-04-2018 00:05;67.5;;;
19-04-2018 00:05;67.5;;;
19-04-2018 00:05;67.5;;;
19-04-2018 00:05;67.5;;;
19-04-2018 00:05;67.5;;;
19-04-2018 00:05;67.5;;;
19-04-2018 00:06;67.5;;;
19-04-2018 00:06;67.5;;;
19-04-2018 00:06;67.5;;;
19-04-2018 00:06;67.5;;;
19-04-2018 00:06;67.5;;;
19-04-2018 00:06;67.5;;;
19-04-2018 00:06;67.5;;;
19-04-2018 00:06;67.5;;;
19-04-2018 00:06;67.5;;;
19-04-2018 00:06;67.5;;;
19-04-2018 00:06;67.5;;;
19-04-2018 00:06;67.5;;;
19-04-2018 00:07;67.5;;;
19-04-2018 00:07;67.5;;;
19-04-2018 00:07;67.5;;;
19-04-2018 00:07;67.5;;;
19-04-2018 00:07;67.5;;;
19-04-2018 00:07;67.5;;;
19-04-2018 00:07;67.5;;;
19-04-2018 00:07;67.5;;;
19-04-2018 00:07;67.5;;;
19-04-2018 00:07;67.5;;;
19-04-2018 00:07;67.5;;;
19-04-2018 00:07;67.5;;;
19-04-2018 00:08;67.5;;;
19-04-2018 00:08;67.5;;;
19-04-2018 00:08;67.5;;;
19-04-2018 00:08;67.5;;;
19-04-2018 00:08;67.5;;;
19-04-2018 00:08;67.5;;;
19-04-2018 00:08;67.5;;;
19-04-2018 00:08;67.5;;;
19-04-2018 00:08;67.5;;;
19-04-2018 00:08;67.5;;;
19-04-2018 00:08;67.5;;;
19-04-2018 00:08;67.5;;;
19-04-2018 00:09;67.5;;;
19-04-2018 00:09;67.5;;;
19-04-2018 00:09;67.5;;;
19-04-2018 00:09;67.5;;;
19-04-2018 00:09;67.5;;;
19-04-2018 00:09;67.5;;;
19-04-2018 00:09;67.5;;;
19-04-2018 00:09;67.5;;;
19-04-2018 00:09;67.5;;;
19-04-2018 00:09;67.5;;;
19-04-2018 00:09;67.5;;;
19-04-2018 00:09;67.5;;;
19-04-2018 00:10;67.5;;;
19-04-2018 00:10;67.5;;;
19-04-2018 00:10;67.5;;;
19-04-2018 00:10;67.5;;;
